
""" продукта";""" of the product"
«живой» эфир;***live streaming
авг;***aug
Август;***August
август###апрель###декабрь###июль###июнь###май###март###ноябрь###октябрь###сентябрь###февраль###январь###;***August###April###December###July###June###May###March###November###October###September###February###January###
автовход;***autologin
автомат;***automat
Автообновления;***Automatic Updates
Автор;***Author
Авторасширение вставок;*** auto-spreading of spots
Автосжимание вставок;"***""Auto compression of spots"
Администратор?;***Administrator?
адрес;***address
адрес клиента;***client address
Активен;***Active
Активность;***Activity
Активность сервера;***Activity of server
Активные соединения;***Active connections
анонс;***announcement
апр;***apr
Апрель;***April
Архивные;***Archival
Архивный;***Archival
Астрономические;***Astronomical
астрономические сутки;***Astronomical day
Аудитория;***Audience
аукц.;***auction
аукц. коэф.;***auction. Coeff.
аукц.история;***auction  history
Аукцион;*** auction 
Аукционная вставка;***auction spot
аукционное размещение;***auction placement
Без сжатия;***Without compression
Блок;***Block
Блоки;***Blocks
больше не показывать эту страницу;***do not show this page again
будет удалён из заказа;***will be deleted from the order
Будние дни;***Weekdays
буфер;***buffer
Были обнаружены события без медиаматериала. Они будут пропущены. Продолжить?;***Events without the media material were found. They will be skipped. Continue?
бюдж;***Budget
Бюджет;***Budget
в Excel;***to Excel
в Excel по шаблону;***to Excel by template
в Forward;***to Forward
В Harris формат;***to Harris format
в HTML;***to HTML
в MS Excel;***to MS Excel
в XML;***to XML
в блоках совместно с fix размещениями;***in blocks along with fix placements
в блоке;***in block
В данном периоде есть дни недоступные для размещения. Продолжить?;***There are days not available for placement in this period. Continue?
в заказе использовать скидки из условия размещения;***Use discounts from placement conditions
В конец;***to the end
В начало;***to the beginning
в основной части не используется минимальная длительность премиум позиции;***the minimum duration of a premium position is not used In the main part.
в очереди;***in the queue
в передачах совместно с fix размещениями;***in programs with fix placements
в период(мин);***in period(min)
в производстве;***in production
В региональном вещании может отличаться от передачи транслируемой в основном вещании;***regional broadcasting may differ from primary broadcasting.
в спец.XML;***in XML
в сутки;***per day
В т.ч. для надбавки за премиум позицию;***including markups for premium items
в файл;***in file
в формат ListBox 1;***to  ListBox 1 format
в формат ListBox 2;***to  ListBox 2 format
в час;***per hour
Валюта;***Currency
Валюта 2;***Currency 2
вариант вывода;***display options
варианты названия;***title options
Введите название;***Enter the title
Введите названия для видео-продукта;***Enter the title for video product
Введите ориентировочную длительность видео-продукта и количество серий;***Enter approximate duration of the video product and number of episodes
Введите производителя видео-продукта;***Enter the producer of the video product
Введите распределение размещений для роликов;***Введите распределение размещений для роликов
Введите уникальный код медиа-носителя;***Enter unique code of the media carrier
Версии;***Builts
Версии программных продуктов;***Builts of a program
Версия;***Built
Версия приложения;***Вuilt of an application
вещание;***Broadcasting
Вещательные;***Broadcast
вещательные сутки;***broadcast day
Виберите тип видео-продукта;***Select the type of  the video product
Вид;***Type
Вид вещания;***Type of broadcasting
вид мовлення;***Type of broadcasting
вид:;***type:
Видео;***Video
видео Uid;***Uid of video 
видео Ид;***ID of video 
Видео источник;***Source of the video
Видео продукты;***Video products
"Видео файлы|*.mpg;*.avi;*.mp4|Все файлы|*.*";"***Видео файлы|*.mpg;*.avi;*.mp4|Все файлы|*.*"
Видео-показ;***Video screening
Видео-продукт;***Video product
видео-продукт UID;***UID of video product
Видео-продукты;***Video products
Видео-события;***Video events
видеоID;***ID of video 
видеоUID;***Uid of video 
Видеоматериал;***Video material
Видеоматериалы;***Video materials
Видеопродукты;***Video Products
Видеопродукты...;***Video Products...
видеоролик;***videoclip
Видеособытия;***Video events
Видеособытия...;***Video events…
видеофлаги;***Video flags
видим клиентам;***available for customers
видим продавцу;***available for a seller
Виробник;***Producer
Владелец;***Owner
Владелец ролика;***Owner of the clip
вне плана;***вне плана
внеплановое;***off-schedule
внеплановый выход;***off-schedule
Внеш.номер;***External number
внешний;***External
Внешний ID;***External ID
Внешний код;***External code
Внешний номер;***External number
внешняя;***External
Внимание;***Attention
Внимание!;***Attention!
ВНИМАНИЕ! ЕСТЬ БАННЕР!;***ATTENTION! BANNER!
внутр.;***internal
внутр.отбивка;***internal jingle
внутреннему ID;***internal ID
Внутренние флаги блока;***Internal flags of the block
Внутренние флаги размещения;***Internal flags of the placement
внутренний;***internal
Внутренний идентификатор блока;***Internal identifier of the block
Внутренний идентификатор заказа;***Internal identifier of the order
внутренний идентификатор канала;***Internal identifier of the channel
Внутренний идентификатор категории вставки;***Internal identifier of the spot category
внутренний идентификатор клиента;***Internal identifier of the customer
Внутренний идентификатор передачи;***Internal identifier of the program
Внутренний идентификатор правила премиум размещения;***Internal identifier of the premium placement conditions
Внутренний идентификатор премиум позиции;***Internal identifier of the premium items
Внутренний идентификатор размещения;***Internal identifier of the placement
Внутренний идентификатор ролика;***Internal identifier of the clip
внутренняя;***Internal 
внутри;***inside
Воскресенье;***Sunday
врем;***time
Времена;***Times
Временные промежутки;***breaks 
Временные промежутки...;***Time breaks...
Время;***Time
Время выхода;***AirTime
Время выхода блока;***AirTime of the block
Время выхода передачи;***AirTime of the program
Время выхода передачи кратное 5;***Время выхода передачи кратное 5
Время на подтверждение заказа (мин.);***Time for order confirmation (min.)
время начала;***on air start time
Время начала вставки, чч:мм:сек;***on air start time of the spot, hh:mm:ss
Время начала передачи на носителе, чч:мм:сек;***on air start time of the program on the media carrier, hh:mm:ss
Время начала показа (от 00:00 до 23:59);***on air start time (00.00 to 23.59)
Время начала сессии;***Start time of the session
время обновления;*** update time
Время перевода сетки;***Time of the grid switch
Время перевода сетки в предмонтажное состояние;***Время перевода сетки в предмонтажное состояние
Время программы;***AirTime/Duration of the program
время событий в соответствии с планом;***время событий в соответствии с планом
Время, на котором заканчивается отображение сетки;***Время, на котором заканчивается отображение сетки
Время, с которого заканчивается отображение сетки;***Время, с которого заканчивается отображение сетки
Время, с которого начинается отображение сетки;***Время, с которого начинается отображение сетки
время, сек;***time, sec
Вс;***Sun
Вс 07.08.2005;***Sun 07.08.2005
все;***all
все каналы;***all channels
Все размещения по заказу, групповые операции;***Все размещения по заказу, групповые операции
все ролики;***all clips
Всего за месяц;***Total for month
Всего за месяц (по клиенту);***Total for month (by customer/client)
Всего за месяц (по условию размещения);***Total for month (по условию размещения)
вст;***вст
Вставить;***Insert
Вставить в текущий день;***Insert to the current day
Вставить в текущую позицию;***Insert to the current position
Вставить здесь;***insert here
Вставить коэффициент;***add the coefficient
Вставить объекты;***Insert objects
Вставить скопированные объекты;***Insert copied objects
Вставить скопированный объект в указанную позицию;***Insert copied objects to selected item
Вставить содержимое предварительно скопированного дня в текущий;***Insert content of previously copied day to the current day
Вставка;***Spot
Вставка в %s[%d] удалена;***Spot in %s[%d] deleted
Вставка в сетках;***Spot in grids
"Вставка для программы ""%s"" c категорией %s";"***Spot for program ""%s"" category %s"
Вставка из Xls;***Spot from Xls
вставка удалена;***spot has been deleted
вставки;***spots
вставок;***spots
Вся система;***All system
Вт;***Tue
Вт 02.08.2005;***Tue 02.08.2005
втор. события;***secondary events
втор.соб.;***secondary events
втор.события;***secondary events
втор.собітие;***secondary event
Вторичное событие;***secondary event
Вторичные события;***secondary events
вторичных;***secondary 
Вторник;***Tuesday
вход;***вход
Входящий трафик сервера в пределах сессии;***Incoming traffic within the server session
Вы действительно хотите исключить пользователя;***Do you really want to exclude the user
Вы действительно хотите покинуть форму размещения;***Do you really want to leave the placement form
Вы действительно хотите удалить;***Do you really want to delete
"Вы действительно хотите удалить пользователя """;"***Do you really want to delete the user """
Выберите дополнительные параметры для групповых заказов;***Select additional parameters for group orders
Выберите канал, который будет основным для регистрируемого регионального канала;***Select the main channel for the registered regional channel
Выберите регион, к которому будет относиться создаваемый;***Select the region to wich the channel that is being created will belong to.
Выберите тип медиа-носителя;***Select the type of  the media carrier
Выберите условия размещения продукта или оставте это поле пустым;"***Selects the placement conditions or leave this selection field blank"""
выберите файл с размещениями;***select file with placements
выбор;***selection
Выбор harris-файла для импорта видеособытий;***Select harris-file for video event import
Выбор xls файла для импорта видеособытий;***Select xis-file for video event import
Выбрать;***Select
выводить кадры;***display stills
Выгрузить;***Export
Выгрузить в Excel;***Export to Excel
Выгрузить в MS Excel...;***Export to MS Excel...
Выгрузить содержимое таблицы в файл MS Excel;***Export table data to MS Excel file
Выгрузить содержимое таблицы в файл формата HTML;***Export table data to HTML file
Выгрузить содержимое таблицы в файл формата XML;***Export table data to XML file
Выгрузить список в MS Excel;***Export list to MS Excel
Выгрузка сетки в Excel;***Export list to  Excel
Выгрузка сетки в файл MS Excel;***Export list to MS Excel file
выделенный;***выделенный
Выделить;***Выделить
Выделить передачи;***Выделить передачи
выделять программы без видеоматериала;***выделять программы без видеоматериала
выделять несоответствие длительности;***выделять несоответствие длительности
выделять программы без медианосителя;***выделять программы без медианосителя
Выйти;***Exit
Выполнить;***Выполнить
Выравнивание вставками;***Align with/by spots
Выровнять;***Align
Выровнять выделенное;***Align selected
выровнять длительность;***Align duration
Выход;***Exit
Выходной;***Weekend/ holiday
Выходные дни;***Weekends/ holidays
вышел;***вышел
Глобальное время;***Global time
год;***year
Головной канал;***Головной канал
Город;***City
готов;***ready
Готова;***Ready
Громкость;***Volume of sound
Группировать вставки внутри;***Group spots inside
Групповые операции;***Group operations
Группы пользователей;***User group
Данные;***Data
Данные для канала импортируются;***Data for the channel is being imported
Данные изменены;***Data has been changed
Данные не определены;***Data is not defined
Данные по;***Data on
Дата;***Date
Дата %s меньше за втягиваемую %s;***Дата %s меньше за втягиваемую %s
Дата и время начала сессии;***Дата и время начала сессии
дата начала;***Date of beginning
дата окончания;***Date of end
Дата от;***Date from
Дата с;***Date from
Дата/время отправки;***Date/time of sending
Дата/время получения;***Date/time of receipt
Дата/время поступления;***Date/time of arrival
Дата/время принятия;***Date/time of admission
датасет;***dataset
Двойное нажатие левой кнопки мыши;***Double-click the left side of the mouse
Действия;***Actions
действует с;***valid from
дек;***December
Декабрь;***December
дельта;***delta
День;***Day
День содержит неподтвержденные размещения, которые могут не попасть в монтажный лист! Продолжить?;***Day contains unconfirmed placements that can not be put on the playlist! Continue?
Детальная (эфирная) сетка вещания;***Detailed (airtime) broadcasting grid
Детальная сетка;***Detailed grid
Детальная сетка...;***Detailed grid...
детально;***detailed
Диаграмма;***Diagram
Диаграмма:;***Diagram:
Диалог параметров;***dialogue of parameters
Диапазон IP адресов;***range of ip addresses
Диапазон включает в себя все интервалы не вошедшие в прочие коммерческие диапазоны;***The range includes all the intervals that are not included to other commercial ranges.
дилтельность;***duration
длительность;***duration
длит;***duration
Длит.;***duration
Длительность;***duration
Длительность (time code);***duration (time code)
Длительность (мин.);***duration (min.)
Длительность (сек);***duration (sec)
Длительность блока;***Duration of block
Длительность блока, сек;***duration of block, sec
Длительность вещания в день;***The duration of the broadcast day
Длительность видео-продукта;***duration of the video product
Длительность ВМ;***Длительность ВМ
длительность вставки;***duration of the spot
Длительность вставки, сек;***duration of the spot, sec
Длительность вставок по часовым интервалам;***duration of the spots per hour intervals
Длительность вставок...;***duration of the spots...
длительность втор. события;***The duration of the secondary event
Длительность клипа (сек.);***Duration of the clip (сек.)
Длительность медиафайла;***duration of the media file
Длительность между вставками;***Duration between spots
длительность передачи;***Duration of the program
Длительность передачи, чч:мин:сек;***Duration of the program, hh:min:sec
Длительность показа;***duration of the showing/screening
Длительность ролика;***Duration of the clip
Длительность ролика, сек;***Duration of the clip, sec
Длительность сессии;***duration of the session
Длительность события;***duration of the event
длительность(time code);***duration(time code)
длительность, мин;***duration, min
Для всех каналов;***For all channels
Для данного канала не существует ни одного вида роликов. ###Добавление роликов невозможно!;***Для данного канала не существует ни одного вида роликов. ###Добавление роликов невозможно!
Для данного событие есть предупреждение в результате;***Для данного событие есть предупреждение в результате
Дней;***Days
Дни;***Days
до;***before/ till
Добавить;***Add
Добавить *закрывашки*;***Добавить *закрывашки*
Добавить внеплановое размещение...;***Add unscheduled placement...
Добавить внеплановую вставку...;***Add unscheduled spot
Добавить внеплановую передачу...;***Add unscheduled program...
Добавить выделенный ролик;***Add selected spot
Добавить категорию;***Add category
Добавить категорию...;***Add category...
Добавить клип;***Add clip
Добавить клип...;***Add clip...
Добавить команду;***Add command/team
Добавить коэффициент;***Add coefficient
Добавить маркер;***Add marker
Добавить менеджера;***Add manager
Добавить на касету;***Добавить на касету
Добавить на касету...;***Добавить на касету...
Добавить основную вставку;***Add main spot
Добавить параметр;***Add the parameter
Добавить период;***Add period
Добавить пользователя;***Add user
Добавить пользователя/группу;***Add user/group
Добавить работника;***Add employee
Добавить региональную вставку;***Add regional spot
Добавить ролик;***Add clip
Добавить ролик в кассету;***Добавить ролик в кассету
Добавить ролик в кассету...;***Добавить ролик в кассету...
Добавить ролик...;***Add clip...
добавить..;***add..
Добавлена вставка;***Spot has been added
Добавление пользователя;***Add user
Добавлять в заказ при создании;***Add to the order when creating
Добавлять жанр к названию передачи;***Adding genre to name of the program 
дозап.;***дозап.
Дозаполнение;***Дозаполнение
Дозаполнить блоки;***Дозаполнить блоки
Дозаполнить блоки роликами?;***Дозаполнить блоки роликами?
Доли рекламного времени %;***Доли рекламного времени %
доп.;***additional.
Доп. информация;***Additional information
Доп. параметры;***Additional parameters
Допол.;***Additional
Дополнительно;***Additionally
дополнительно выводить;***дополнительно выводить
Дополнительные;***Additional 
дополнительные параметры;***Additional parameters
Допустимые адреса;***Valid addresses
Доступ;***Access
доступ работникам к каналу;***Employee access to the channel
доступен для размещения клиентам;***available to customers for placement
доступен для размещения продавцу;***available to seller for placement
Доступные ролики;***available clips
другие варианты названия;***alternative names/titles
Дублировать;***Duplicate
если установить этот флажок, система запомнит последний ###введенный пароль и не будет необходимости вводить его при следующем запуске;***если установить этот флажок, система запомнит последний ###введенный пароль и не будет необходимости вводить его при следующем запуске
если установить этот флажок, система запомнит последний успешно принятые параметры подключения###и в следующий раз осуществит автоматический вход с использованием этих параметров;***если установить этот флажок, система запомнит последний успешно принятые параметры подключения###и в следующий раз осуществит автоматический вход с использованием этих параметров
если установить этот флажок, страница приветствия не будет отображаться в следующий раз;***если установить этот флажок, страница приветствия не будет отображаться в следующий раз
Если этот флаг установлен, то время выхода и длительность передачи не может быть изменено;***Если этот флаг установлен, то время выхода и длительность передачи не может быть изменено
Если этот флаг установлен, то передача локальна для региона и замещает передачу основного канала.###(Имеет значение только для региональных каналов);***Если этот флаг установлен, то передача локальна для региона и замещает передачу основного канала.###(Имеет значение только для региональных каналов)
Если этот флаг установлен, то передача транслируется на все региональные каналы.###(Имеет значение только для основного канала);***Если этот флаг установлен, то передача транслируется на все региональные каналы.###(Имеет значение только для основного канала)
есть демонстрация;***есть демонстрация
Жанр;***Genre
жанр/тип;***Genre/type
Жанровая сетка;***Genre grid
жанровую сетку;***Genre grid
Жанровые сетки;***Genre grids
Жанровые сетки...;***Genre grid...
Жанры;***Genres
живой эфир;***Airtime
за год;***per year
Завершить сессию;***complete session
Заголовок;***header
Загрузить данные с сервера;***Download data from the server
Загрузить рейтинги вставок из файла;***Upload spot ratings from the file
Загрузить рейтинги вставок из файла...;***Upload spot ratings from the file...
Загрузить рейтинги программ из файла;***Upload program ratings from the file
Загрузить рейтинги программ из файла...;***Upload program ratings from the file...
загрузить с сервера;***download from server
Загрузка;***download 
Загрузка эфирной сетки в файл;***download from server
Задержка отображения (мин.);***display delay (min.)
Задержка размещения (мин.);***placement delay (min.)
Заказ;***Order
заказ guid;*** guid order
"заказ в состоянии ""закрыт""";"***order status ""closed"""
"заказ в состоянии ""планирование""";"***order status ""preparation/in progress"""
"заказ в состоянии ""размещен""";"***prder status ""placed"""
"заказ в состоянии ""расчета""";"***order status ""calculation"""
заказ доступен клиенту для правок;***orders are available for editing by customers
заказ у которого есть признак Float;***order with a Float sign
заказ у которого есть признак НПР;***заказ у которого есть признак НПР
Заказы;***Orders
Закладки;***Bookmarks
Закрашивает на шкале промежутки между делениями которые ничем не заполнены;***Highlights intervals on the scale between empty partitions.
Закрашивает часы на шкале времени которые переполнены рекламой;***Highlights intervals on the scale that are overfilled with advertising
Закрепить;***Save
Закрепить все;***Save all
закрыт;***closed
Закрыть;***Close
Закрыть заказ;***Close an order
Закрыть окно;***close a window
Закрыть форму;***close a form
Залить;***Залить
Залить файл;***Залить файл
Заменить;***Replace
Заменить ...;***Replace ...
Заменить незаполненные интервалы между событиями указанной вставкой;***Replace unfilled breaks between events with a selected sport
Заменить разрывы вставками;***Replace breaks with spots
Заметки;***Notes
Занесение выбранного ролика в блок;***Add selected clip to the block
занято;***occupied
Заполнение блока;***Filling of the block
Заполнение региональной рекламой;******Filling with regional advertiment
заполнено;***occupied
Заполнено (сек);***occupied (sec)
Заполнено (%);***occupied (%)
Заполнено региональной (сек);***Occupied with regional (sec)
заполнено/открыто;***occupied/available
Заполненость;***occupancy
Заполняемость;***occupancy
Запомнить;***Save/Remember
запомнить пароль;***save passaword
Запретить точку доступа;***Deny access point
Запрос на регистрацию продукта;***request for product registration
запрос на сервер;***request to the server
Запрос регистрации;***Registration request
Запросы на регистрацию;***Registration requests
Зарегистрировал;***Registered
зарегистрирована;***Registered
Зарегистрированные пользователи сервера;***Registered users of the server
Зарегистрировать;***Register
Зарегистрировать в каталоге;***Register In catalogue
Зарегистрировать в каталоге и назначить клиенту;***Register in catalogue and assign to the client
Зарегистрировать касету;***Register a cassette
Зарегистрировать касету...;***Register a cassette...
Зарегистрировать продукт в каталоге;***Register a cassette in the catalogue
Зарегистрировать...;***Register...
Зафиксировать программы в дне;***Fixate a program in a day
зачеркнутый;***strikeout
"заявлено GRP 30""";"***announced GRP 30"""
Значение;***Value
"Значение bus в файле ""%s"" не совпадает со значением даного канала ""%s"". Продолжить?";"***Value bus in the file ""%s"" does not match the value of this channel ""%s"". Continue?"
Значение, которое подставляется вместо длительности ролика та меньше. Используется при рассчете Кпремиум;***Значение, которое подставляется вместо длительности ролика та меньше. Используется при рассчете Кпремиум
значения по умолчанию;***value by default
Значения по умолчанию для условий;***Value by default for conditions
игнорировать коммерчесткие передачи;***ignore commercial programs
игнорировать экстра позиции при импорте gfk;***ignore additional items while import of gfk 
ид;***ид
ид как guid;***ид как guid
Ид видеомедиа;***Ид видеомедиа
Ид видеомедианосителя;***Ид видеомедианосителя
Ид видеособытия;***Ид видеособытия
Ид категории вставки;***Ид категории вставки
ид категории ролика;***ид категории ролика
Ид Продавца;***Ид Продавца
ид Производителя;***ид Производителя
ИД тип;***ИД тип
Идентификатор производителя;***ID of a producer
Идентификатор производителя продукта;***ID of the producer of the product
Идентификатор (номер) заказа;***Id (number) of the order
Идентификатор (номер) ролика;***ID (number) of the clip
Идентификатор ролика;***ID of the clip 
Идентификатор сессии;***ID of the session
Идентификация роликов;***ID of clips
"из точки доступа """;"***from the access point """
Изготовитель;***Manufecturer/producer
изготовлена;***produced
изготовление;***producing
изменен;***changed
Изменение диапазона;***change of the range
Изменения;***Changes
Изменить данные по кассете;***Change the information on the cassette
Изменить данные по кассете...;***Change the information on the cassette…
Изменить название точки;***Change the name of the access point
Изменить параметры выбранного объекта;***Change the parameter of selected item/object
Изменить пароль..;***Change password..
Изменить состояние;***Change condition
Изменить состояние всех дней недели;***Change the condition of all days of the week
имп.кат;***imp.cat
имп.роликов;***imp.clips
Импорт;***Import
Импорт видеособытий;***Import of videoevents
Импорт вставок;***Import of spots
Импорт вставок...;***Import of spots…
Импорт из файла;***Import from the file
импорт роликов;***import of clips
Импорт факта видео событий;***Import of videoevents
Импорт-корректировка вставок;***Import-correction of spots
импортированая категория;***imported category
Импортировать данные Smart1 в Телепорт -КС;***Import data  Smart1 to Teleport -КС
Импортируется день %s;***Import of the day %s
Имя;***Name
Имя пользователя;***Username
Имя пользователя для фхода в систему;***Username for login to the system
интегр.;***integration
Интеграция с Smart1;***Integration with Smart1
интегрированная;***integrated
интегрированные;***integrated
Интервал;***interval
Интервал обновления (сек);***interval of update (sec)
"Интервал, по истечении которого неподтвержденный заказ вернется в из состояния ""размещение"" в состояние ""планирование""";"***The interval after which the unconfirmed order will return from the condition of ""placement"" to ""planning"""
Инфо;***Info
информация;***information
Информация о блоках;***Informtion on blocks
Информация о длительности вставок по часам;***Information n duration of spots by hours
Информация о передачах;***Information on programs
Информация о пользователе сервера;***Inforamtion on the user of the server
Информация о размещениях;***Inforamtion on placements
Информация о роликах по заказу;***Information on clips in the order
Информация о сессии;***Information on the session
Информация о сессии...;***Information on the session..
Информация о файле;***Information on the file
Информация по роликам;***Information on clips
Информация по роликам..;***nformation on clips…
Информация успешно внесена в базу данных.###Нажмите |Ок| для закрытия мастера.;***Information has been successfully added to the database.###Press |Ок| to close the wizard.
Искать;***Search
Искать по...;***Search by...
Исключить пользователя;***Exclude a user
Использовать закладки для переключения окон;***Use bookmarks to switch windows
Использовать прокси;***Use proxy
Использовать фактическое время выхода при рассчете;***Use the actual time of airtime during the calculation
история аукционов;***auction history
Источник;***Source
Источник видеосигнала;***Video source
